none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
General.General_1,Okay,ठीक है,ตกลง,Okay,好的,Đồng ý,Oke,సరే,ठीक आहे,Ok,OK
General.General_2,Cancel,रद्द,ยกเลิก,Cancels,取消,Hủy bỏ,Batal,రద్దు,रद्द करा,Cancelar,Cancelar
General.General_3,Yes,हाँ,ใช่,Yes,是的,Yes,Ya,అవును,होय,Sim,Sí
General.General_4,No,नहीं,ไม่,No,不,No,Tidak,లేదు,नाही,Não,No
UI.Charge_1_info_1,Recharge information,जानकारी रिचार्ज करें,ข้อมูลการเติมเงิน,Recharge information,充值信息,Thông tin nạp,Informasi pengisian ulang ,రీఛార్జ్ సమాచారం,रिचार्ज माहिती,Recarregar informação,Información de recarga
UI.Charge_1_info_5,Input Phone Number,फोन नंबर दर्ज,ใส่หมายเลขโทรศัพท์,input Phone Number,輸入電話號碼,Nhập số điện thoại,masukan Nomor Telepon,ఇన్పుట్ ఫోన్ నంబర్,फोन नंबर प्रविष्ट करा.,Número de telefone,Ingrese número de teléfono 
UI.Charge_1_info_7,Input Email Address,ईमेल अॅड्रेस दर्ज,ใส่ที่อยู่อีเมล,Input Email Address,輸入電子郵件地址,Nhập địa chỉ email,masukan Alamt Email,ఇన్పుట్ ఇమెయిల్ చిరునామా,ईमेल प्रविष्ट करा,Inserir Email,Ingrese Dirección de correo electrónico
UI.Charge_1_info_8,UPI ID,यूपीआई आईडी,UPI ID,UPI ID,UPI ID,ID UPI,ID UPI,యుపిఐ ఐడి,यूपीआई आयडी,UPI ID,Identificación de UPI
UI.Charge_1_info_9,Input UPI ID,यूपीआई आईडी डालें,ใส่ UPI ID,input UPI ID,輸入 UPI ID,Nhập ID UPI,masukan ID UPI,ఇన్పుట్ UPI ID,यूपीआय आयडी प्रविष्ट करा,UPI ID(Opcional),Ingrese identificación de UPI
UI.Charge_1_info_10,Purchase terms,क्रय शर्तें,เงื่อนไขการสั่งซื้อ,Purchase terms,購買條款,Điều khoản nạp,Syarat Pembelian,కొనుగోలు నిబంధనలు,खरेदी अटी,Condições compra,Terminos de compra
UI.Charge_2_upi_2,Pay,पे,ชำระเงิน,Pay,支付,Thanh toán,Membayar,చెల్లించండి,द्या,Pagar,Pagar
