none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es,,
UI_Mines_cashout,CASHOUT,नकदी निकलना,เงินสด,CASHOUT,兌現,RÚT TIỀN,KAS KELUAR,కాషౌట్,पैसे काढणे,SAQUE,RETIRO
UI_Mines_Bet,Bet,लेकिन,เดิมพัน,Bet,賭注,Cược,Taruhan,కానీ,परंतु,Mas,apostar
UI_Mines_START,START,प्रारंभ,เริ่ม,START,開始,BẮT ĐẦU,MULAI,ప్రారంభించు,प्रारंभ,COMEÇAR,COMIENZO
UI_Mines_Stop,Stop,रुकना,หยุด,Stop,停止,Dừng lại,Berhenti,ఆపండి,थांबा,Pare,Deténgase
UI_Mines_Autopick,Autopick,ऑटोपिक,รับโดยอัตโนมัติ,Autopick,自動拾取,Tự chọn,Otomatis memilih,స్వీయ ఎంపిక,ऑटोपिक,Escolha automática,selección automática
UI_Mines_Mines,Mines,खानों,ระเบิด,Mines,炸彈,Mìn,Tambang,గనులు,खाणी,Minas,Minas
UI_Mines_Bets,Bets,दांव,การเดิมพัน,Bets,投注,Cược,Taruhan,పందాలు,बेट्स,Apostas,Apuestas
UI_Mines_Gold,Gold,सोने,เหรียญทอง,Gold,金幣,Vàng,Emas,బంగారం,सोना,Ouro,Oro
UI_Game620_modified,"Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified",เดิมพันแล้ว ไม่สามารถแก้ไขพารามิเตอร์ของเกมได้,"Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified","Bets have been placed, game parameters cannot be modified",
UI_Game620_Welcome,Welcome to the Minesweeper game,माइनस्वीपर गेम में आपका स्वागत है,ยินดีต้อนรับสู่ไมน์สวีปเปอร์,Welcome to the Minesweeper game,歡迎來到掃雷遊戲,Chào mừng đến với trò chơi Minesweeper,Selamat datang di game Minesweeper,Welcome to the Minesweeper game,Welcome to the Minesweeper game,Bem-vindo ao jogo Campo Minado,Bienvenido al juego Buscaminas
UI_NUMBER_MINES,NUMBER OF MINES,खानों की संख्या,จำนวนทุ่นระเบิด,NUMBER OF MINES,地雷數量,SỐ LƯỢNG MÌN,JUMLAH TAMBANG,NUMBER OF MINES,NUMBER OF MINES,NÚMERO DE MINAS,NÚMERO DE MINAS
